,True Classes,Predicted Classes
0,T-shirt/top,T-shirt/top
1,Pullover,Coat
2,Pullover,Sandal
3,Dress,Coat
4,Bag,Pullover
5,Shirt,Pullover
6,Sandal,Sandal
7,T-shirt/top,T-shirt/top
8,Dress,Trouser
9,Coat,Coat
10,Coat,Coat
11,Shirt,Coat
12,Bag,Pullover
13,Sandal,Sandal
14,Shirt,Pullover
15,Dress,Pullover
16,Shirt,Coat
17,Coat,Pullover
18,Coat,T-shirt/top
19,Coat,Coat
20,Pullover,Pullover
21,Trouser,Trouser
22,Sandal,Sandal
23,Bag,Bag
24,Coat,Trouser
25,Coat,Sneaker
26,Trouser,Trouser
27,Sandal,Sandal
28,Sneaker,Ankle boot
29,Sneaker,Ankle boot
30,Bag,Ankle boot
31,Trouser,Trouser
32,T-shirt/top,Trouser
33,Ankle boot,Ankle boot
34,Bag,Bag
35,T-shirt/top,Trouser
36,Pullover,T-shirt/top
37,T-shirt/top,T-shirt/top
38,Coat,Pullover
39,Shirt,T-shirt/top
40,T-shirt/top,T-shirt/top
41,Dress,Trouser
42,Dress,Pullover
43,Pullover,Coat
44,Dress,Sneaker
45,Pullover,Sandal
46,Pullover,Pullover
47,Ankle boot,Dress
48,Dress,Dress
49,T-shirt/top,T-shirt/top
50,Ankle boot,Ankle boot
51,Ankle boot,T-shirt/top
52,Coat,Coat
53,Shirt,Coat
54,Coat,Coat
55,Sandal,Sandal
56,Coat,Coat
57,Shirt,Coat
58,T-shirt/top,T-shirt/top
59,Ankle boot,Ankle boot
60,Sandal,Trouser
61,Pullover,Coat
62,Sneaker,Sneaker
63,Dress,Dress
64,Coat,T-shirt/top
65,Shirt,Coat
66,Sandal,Sandal
67,Sneaker,Sneaker
68,Trouser,Trouser
69,Trouser,Trouser
70,Coat,Sneaker
71,Ankle boot,Ankle boot
72,Bag,Pullover
73,Pullover,T-shirt/top
74,Coat,Shirt
75,Bag,Pullover
76,Ankle boot,Ankle boot
77,Coat,Ankle boot
78,Trouser,Trouser
79,Shirt,Coat
80,Dress,Trouser
81,Coat,Bag
82,Pullover,Sneaker
83,Pullover,Coat
84,Pullover,Sandal
85,Coat,Coat
86,Sneaker,Sneaker
87,Sneaker,Coat
88,Ankle boot,Ankle boot
89,Dress,Dress
90,Ankle boot,Ankle boot
91,T-shirt/top,Pullover
92,Pullover,Pullover
93,Dress,Sneaker
94,Bag,Coat
95,Pullover,Pullover
96,Sneaker,Sneaker
97,Sandal,Sandal
98,Sandal,Sandal
99,Dress,Pullover
100,Pullover,Coat
101,Sneaker,Sneaker
102,Sandal,Sandal
103,T-shirt/top,Dress
104,Pullover,Pullover
105,Sneaker,Bag
106,Trouser,Sneaker
107,T-shirt/top,Shirt
108,Sandal,Sneaker
109,Coat,Coat
110,Coat,Coat
111,Sneaker,Sneaker
112,T-shirt/top,Dress
113,Bag,Dress
114,Sandal,Sandal
115,T-shirt/top,Sandal
116,Dress,Dress
117,Trouser,Sneaker
118,Sneaker,Sneaker
119,Ankle boot,Ankle boot
120,Coat,Coat
121,Ankle boot,Ankle boot
122,Shirt,Coat
123,Coat,Coat
124,Coat,T-shirt/top
125,Pullover,Pullover
126,Coat,Coat
127,Dress,Sneaker
128,Dress,Sandal
129,Dress,Trouser
130,Pullover,Dress
131,Shirt,Shirt
132,T-shirt/top,Coat
133,T-shirt/top,T-shirt/top
134,Trouser,Trouser
135,Coat,Coat
136,Dress,Dress
137,Dress,Trouser
138,Trouser,Trouser
139,Ankle boot,Ankle boot
140,Dress,Dress
141,Dress,Dress
142,Dress,Dress
143,Ankle boot,Ankle boot
144,Sandal,Sandal
145,Shirt,Trouser
146,Sneaker,Sneaker
147,Sneaker,Ankle boot
148,Dress,Ankle boot
149,Pullover,Bag
150,Coat,Pullover
151,T-shirt/top,T-shirt/top
152,Bag,Trouser
153,Sneaker,Sneaker
154,Pullover,Pullover
155,Pullover,Coat
156,Bag,Bag
157,Ankle boot,Ankle boot
158,T-shirt/top,Pullover
159,Pullover,Coat
160,Coat,Coat
161,Coat,Shirt
162,Sandal,Trouser
163,Sneaker,Sneaker
164,Ankle boot,Bag
165,Ankle boot,Ankle boot
166,Dress,Sneaker
167,Ankle boot,Sneaker
168,Sandal,Ankle boot
169,Shirt,Coat
170,T-shirt/top,T-shirt/top
171,Sneaker,Trouser
172,Coat,Pullover
173,Ankle boot,Ankle boot
174,Shirt,T-shirt/top
175,T-shirt/top,T-shirt/top
176,T-shirt/top,Dress
177,Coat,Trouser
178,T-shirt/top,Shirt
179,Ankle boot,Ankle boot
180,T-shirt/top,T-shirt/top
181,Coat,Bag
182,Pullover,Sandal
183,Sandal,Ankle boot
184,Sandal,Ankle boot
185,Bag,Bag
186,Shirt,Ankle boot
187,Pullover,Pullover
188,Trouser,Trouser
189,Ankle boot,Ankle boot
190,T-shirt/top,Sneaker
191,Coat,Trouser
192,Sneaker,Sneaker
193,Trouser,Trouser
194,Ankle boot,Ankle boot
195,Sandal,Trouser
196,Ankle boot,Ankle boot
197,T-shirt/top,Bag
198,Pullover,Sandal
199,Bag,Bag
200,Sandal,Sandal
201,Sneaker,Ankle boot
202,Sneaker,Pullover
203,Dress,Dress
204,Pullover,Coat
205,Coat,Coat
206,Sandal,T-shirt/top
207,Sneaker,Ankle boot
208,Bag,Bag
209,Ankle boot,Sneaker
210,Sandal,Ankle boot
211,Shirt,Trouser
212,Pullover,Ankle boot
213,Ankle boot,Ankle boot
214,Sneaker,Sneaker
215,Coat,Pullover
216,T-shirt/top,T-shirt/top
217,Ankle boot,Ankle boot
218,Pullover,Coat
219,Trouser,Trouser
220,Sandal,Sandal
221,Sneaker,Sneaker
222,Sneaker,Ankle boot
223,T-shirt/top,T-shirt/top
224,Pullover,Coat
225,Sandal,Pullover
226,Dress,Sandal
227,Dress,T-shirt/top
228,Bag,Coat
229,Trouser,Trouser
230,Shirt,Sneaker
231,Pullover,Coat
232,Coat,Coat
233,Bag,Bag
234,Shirt,Shirt
235,Ankle boot,Dress
236,Bag,Coat
237,Dress,Dress
238,Pullover,Coat
239,Coat,Sandal
240,Pullover,Pullover
241,Pullover,Coat
242,Ankle boot,Ankle boot
243,Dress,Dress
244,Ankle boot,Ankle boot
245,Pullover,Coat
246,Bag,Bag
247,Shirt,Coat
248,Bag,Pullover
249,Bag,Bag
250,Pullover,Coat
251,Sneaker,Sneaker
252,Pullover,Coat
253,Sandal,Trouser
254,Sandal,Sandal
255,Ankle boot,Ankle boot
256,Sandal,Sneaker
257,Bag,Bag
258,Pullover,Ankle boot
259,Coat,Coat
260,Bag,Bag
261,Coat,Dress
262,Bag,Coat
263,Dress,Dress
264,Pullover,Coat
265,Pullover,Pullover
266,Pullover,Pullover
267,Bag,Dress
268,Trouser,Dress
269,Dress,Dress
270,Dress,T-shirt/top
271,Coat,Sneaker
272,Trouser,Trouser
273,Sneaker,Sneaker
274,T-shirt/top,Shirt
275,Sandal,T-shirt/top
276,Pullover,T-shirt/top
277,T-shirt/top,T-shirt/top
278,Sneaker,Ankle boot
279,Shirt,Shirt
280,Shirt,Bag
281,Sneaker,Sneaker
282,Coat,Coat
283,Sneaker,Sneaker
284,Sneaker,Sneaker
285,Shirt,Bag
286,Shirt,Pullover
287,Shirt,Trouser
288,Bag,Bag
289,Sneaker,Bag
290,T-shirt/top,T-shirt/top
291,Ankle boot,Dress
292,T-shirt/top,Sandal
293,Pullover,Coat
294,Sandal,Coat
295,T-shirt/top,Trouser
296,Bag,T-shirt/top
297,Sandal,Sandal
298,Bag,Bag
299,Sneaker,Trouser
300,Sneaker,Bag
301,Coat,Coat
302,Pullover,Pullover
303,Ankle boot,Bag
304,Sneaker,Dress
305,Shirt,Dress
306,Trouser,Trouser
307,Shirt,Dress
308,Dress,Bag
309,Bag,Bag
310,Shirt,T-shirt/top
311,Sandal,Bag
312,Sandal,Sneaker
313,T-shirt/top,T-shirt/top
314,Ankle boot,Ankle boot
315,Pullover,Pullover
316,Ankle boot,Ankle boot
317,Bag,Bag
318,T-shirt/top,T-shirt/top
319,Shirt,Coat
320,Ankle boot,T-shirt/top
321,Shirt,Coat
322,Coat,Coat
323,Dress,Trouser
324,Shirt,Bag
325,Shirt,Coat
326,Shirt,T-shirt/top
327,Bag,T-shirt/top
328,Sandal,Sandal
329,Ankle boot,Ankle boot
330,Sandal,Sandal
331,Trouser,Trouser
332,Pullover,Trouser
333,T-shirt/top,T-shirt/top
334,Sneaker,Sandal
335,Trouser,Sneaker
336,Pullover,Coat
337,Sneaker,Ankle boot
338,Sandal,Ankle boot
339,Ankle boot,Bag
340,Shirt,Bag
341,Pullover,Ankle boot
342,Pullover,Dress
343,Pullover,Dress
344,Shirt,Bag
345,Shirt,T-shirt/top
346,Sneaker,Sneaker
347,Pullover,Coat
348,Ankle boot,Ankle boot
349,Bag,Bag
350,Dress,Trouser
351,Ankle boot,Ankle boot
352,Sneaker,Bag
353,Sandal,Trouser
354,Trouser,Trouser
355,Coat,Coat
356,Ankle boot,Ankle boot
357,Sandal,Sandal
358,Sandal,Sandal
359,T-shirt/top,Bag
360,Dress,Dress
361,Coat,Bag
362,Sneaker,Ankle boot
363,Coat,Bag
364,Shirt,T-shirt/top
365,Coat,Pullover
366,T-shirt/top,Sandal
367,Sandal,Trouser
368,T-shirt/top,T-shirt/top
369,Shirt,Sneaker
370,T-shirt/top,Pullover
371,Pullover,Coat
372,Dress,Trouser
373,Sandal,Coat
374,Sneaker,Sneaker
375,T-shirt/top,T-shirt/top
376,Sandal,Ankle boot
377,T-shirt/top,Sandal
378,Ankle boot,Sneaker
379,T-shirt/top,T-shirt/top
380,Sandal,T-shirt/top
381,Shirt,Coat
382,Sneaker,Ankle boot
383,Sneaker,Sneaker
384,Sandal,Sandal
385,Sandal,Sandal
386,Coat,Coat
387,Coat,Pullover
388,Coat,Coat
389,T-shirt/top,T-shirt/top
390,Ankle boot,Ankle boot
391,Bag,Dress
392,Coat,Pullover
393,Trouser,Trouser
394,T-shirt/top,Pullover
395,Shirt,Sneaker
396,Shirt,Sandal
397,Pullover,Coat
398,Ankle boot,Ankle boot
399,Coat,Coat
400,Dress,T-shirt/top
401,Pullover,Coat
402,Bag,Bag
403,Dress,Trouser
404,Bag,Coat
405,Pullover,Coat
406,Trouser,Trouser
407,Pullover,Pullover
408,T-shirt/top,T-shirt/top
409,Sneaker,Dress
410,Bag,Bag
411,Sneaker,Sneaker
412,Coat,Sandal
413,Sandal,Sneaker
414,T-shirt/top,Sneaker
415,T-shirt/top,T-shirt/top
416,Sandal,Sneaker
417,Bag,Sandal
418,Ankle boot,Ankle boot
419,Ankle boot,Ankle boot
420,Sandal,Sneaker
421,Sandal,Sandal
422,Bag,Bag
423,Coat,Dress
424,Shirt,Bag
425,Dress,Dress
426,Pullover,Pullover
427,Sneaker,Trouser
428,Trouser,Dress
429,Sandal,Trouser
430,Sandal,Sandal
431,Sandal,T-shirt/top
432,Ankle boot,Sneaker
433,Shirt,T-shirt/top
434,T-shirt/top,Bag
435,Sneaker,T-shirt/top
436,Shirt,T-shirt/top
437,Shirt,Coat
438,Sneaker,Trouser
439,Shirt,T-shirt/top
440,Bag,Bag
441,Shirt,Coat
442,Dress,Dress
443,Sneaker,Sneaker
444,Dress,Dress
445,Coat,Coat
446,Ankle boot,Ankle boot
447,Sneaker,Sneaker
448,Bag,Bag
449,Shirt,Pullover
450,Pullover,Trouser
451,Bag,Pullover
452,Bag,Sandal
453,Sneaker,Ankle boot
454,Ankle boot,Ankle boot
455,Dress,Dress
456,Bag,Bag
457,Trouser,Trouser
458,Pullover,Pullover
459,Pullover,Pullover
460,Ankle boot,Sneaker
461,Dress,Dress
462,Bag,Coat
463,Shirt,T-shirt/top
464,Shirt,Trouser
465,Coat,Coat
466,Pullover,Pullover
467,Sandal,Sandal
468,Pullover,Pullover
469,T-shirt/top,T-shirt/top
470,T-shirt/top,T-shirt/top
471,Pullover,Bag
472,Ankle boot,Bag
473,Coat,Coat
474,Sandal,Sandal
475,Pullover,Sandal
476,Dress,Coat
477,Bag,Bag
478,Coat,Sandal
479,Pullover,Shirt
480,Sandal,Ankle boot
481,Sandal,Sandal
482,Dress,Coat
483,Sneaker,Ankle boot
484,Trouser,Trouser
485,Ankle boot,Ankle boot
